date	GiftsController	InvitationsController	ContributionsController	SessionsController	HomeController	ErrorsController	RegistrationsController	LogsController	PasswordsController	AccountsController	GiftItemsController	CartController	Debug::LoginAsController	RecipientsController	RedemptionsController	HipchipGiftItemsController	PaymentMethodsController	Admin::DashboardController
2016-11-11 03:00:00	29	6	40	26	25	6	2	1	4	0	0	0	0	0	0	0	0	0
2016-11-11 04:00:00	6	1	8	6	23	0	2	0	0	0	0	0	0	0	0	0	0	0
2016-11-11 05:00:00	1	2	8	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-11 06:00:00	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-11 07:00:00	0	1	7	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-11 08:00:00	3	0	1	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-11 09:00:00	0	1	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-11-11 10:00:00	3	1	4	11	17	0	1	0	4	0	0	0	0	0	0	0	0	0
2016-11-11 11:00:00	18	2	5	10	37	1	2	0	6	1	0	0	0	0	0	0	0	0
2016-11-11 12:00:00	25	3	16	6	40	0	2	0	0	1	0	0	0	0	0	0	0	0
2016-11-11 13:00:00	56	18	27	26	47	0	6	0	0	0	6	1	0	0	0	0	0	0
2016-11-11 14:00:00	44	6	36	34	43	0	8	0	4	7	0	0	3	5	0	0	0	0
2016-11-11 15:00:00	68	4	36	28	52	8	7	0	10	4	0	0	1	250	2	0	0	0
2016-11-11 16:00:00	90	20	90	44	57	5	17	3	2	1	6	6	0	0	0	2	5	0
2016-11-11 17:00:00	72	5	36	23	51	3	4	0	4	7	0	0	3	10	0	0	0	0
2016-11-11 18:00:00	97	63	95	33	112	0	12	1	0	4	5	4	2	23	0	1	0	0
2016-11-11 19:00:00	888	7	115	3941	330	876	21	1	5	13	56	0	0	12	1	1	6	2
2016-11-11 20:00:00	11582	19	83	1551	2715	5850	1398	0	328	9	1422	2	0	12	1	116	0	0
2016-11-11 21:00:00	127	12	55	47	60	5	3	0	4	1	4	6	0	4	1	0	0	0
2016-11-11 22:00:00	82	4	103	56	61	4	8	0	4	2	1	1	0	533	1	1	2	0
2016-11-11 23:00:00	40	3	22	18	37	5	1	0	1	1	0	0	0	221	1	0	0	0
2016-11-12 00:00:00	64	29	36	17	53	0	7	1	2	0	6	5	0	0	0	1	0	0
2016-11-12 01:00:00	35	3	29	31	43	0	3	0	0	0	0	0	0	11	1	0	0	0
2016-11-12 02:00:00	47	21	45	36	69	13	8	0	2	0	0	0	0	26	1	0	0	0
